Date,PMI
2023-03-01,46.3
2023-02-01,47.7
2023-01-01,47.4
2022-12-01,48.4
2022-11-01,49
2022-10-01,50.2
2022-09-01,50.9
2022-08-01,52.8
2022-07-01,52.8
2022-06-01,53
2022-05-01,56.1
2022-04-01,55.4
2022-03-01,57.1
2022-02-01,58.6
2022-01-01,57.6
2021-12-01,58.7
2021-11-01,61.1
2021-10-01,60.8
2021-09-01,61.1
2021-08-01,59.9
2021-07-01,59.5
2021-06-01,60.6
2021-05-01,61.2
2021-04-01,60.7
2021-03-01,64.7
2021-02-01,60.8
2021-01-01,58.7
2020-12-01,60.7
2020-11-01,57.5
2020-10-01,59.3
2020-09-01,55.4
2020-08-01,56
2020-07-01,54.2
2020-06-01,52.6
2020-05-01,43.1
2020-04-01,41.5
2020-03-01,49.1
2020-02-01,50.1
2020-01-01,50.9
2019-12-01,47.2
2019-11-01,48.1
2019-10-01,48.3
2019-09-01,47.8
2019-08-01,49.1
2019-07-01,51.2
2019-06-01,51.7
2019-05-01,52.1
2019-04-01,52.8
2019-03-01,55.3
2019-02-01,54.2
2019-01-01,56.6
2018-12-01,54.1
2018-11-01,59.3
2018-10-01,57.7
2018-09-01,59.8
2018-08-01,61.3
2018-07-01,58.1
2018-06-01,60.2
2018-05-01,58.7
2018-04-01,57.3
2018-03-01,59.3
2018-02-01,60.8
2018-01-01,59.1
2017-12-01,59.7
2017-11-01,58.2
2017-10-01,58.7
2017-09-01,60.8
2017-08-01,58.8
2017-07-01,56.3
2017-06-01,57.8
2017-05-01,54.9
2017-04-01,54.8
2017-03-01,57.2
2017-02-01,57.7
2017-01-01,56
2016-12-01,54.7
2016-11-01,53.2
2016-10-01,51.9
2016-09-01,51.5
2016-08-01,49.4
2016-07-01,52.6
2016-06-01,53.2
2016-05-01,51.3
2016-04-01,50.8
2016-03-01,51.8
2016-02-01,49.5
2016-01-01,48.2
2015-12-01,48.2
2015-11-01,48.6
2015-10-01,50.1
2015-09-01,50.2
2015-08-01,51.1
2015-07-01,52.7
2015-06-01,53.5
2015-05-01,52.8
2015-04-01,51.5
2015-03-01,51.5
2015-02-01,52.9
2015-01-01,53.5
2014-12-01,55.5
2014-11-01,58.7
2014-10-01,59
2014-09-01,56.6
2014-08-01,59
2014-07-01,57.1
2014-06-01,55.3
2014-05-01,55.4
2014-04-01,54.9
2014-03-01,53.7
2014-02-01,53.2
2014-01-01,51.3
2013-12-01,57
2013-11-01,57.3
2013-10-01,56.4
2013-09-01,56.2
2013-08-01,55.7
2013-07-01,55.4
2013-06-01,50.9
2013-05-01,49
2013-04-01,50.7
2013-03-01,51.3
2013-02-01,54.2
2013-01-01,53.1
2012-12-01,50.7
2012-11-01,49.5
2012-10-01,51.7
2012-09-01,51.5
2012-08-01,49.6
2012-07-01,49.8
2012-06-01,49.7
2012-05-01,53.5
2012-04-01,54.8
2012-03-01,53.4
2012-02-01,52.4
2012-01-01,54.1
2011-12-01,53.9
2011-11-01,52.7
2011-10-01,50.8
2011-09-01,51.6
2011-08-01,50.6
2011-07-01,50.9
2011-06-01,55.3
2011-05-01,53.5
2011-04-01,60.4
2011-03-01,61.2
2011-02-01,61.4
2011-01-01,60.8
2010-12-01,57
2010-11-01,56.6
2010-10-01,56.9
2010-09-01,54.4
2010-08-01,56.3
2010-07-01,55.5
2010-06-01,56.2
2010-05-01,59.7
2010-04-01,60.4
2010-03-01,59.6
2010-02-01,56.5
2010-01-01,58.4
2009-12-01,55.9
2009-11-01,53.6
2009-10-01,55.7
2009-09-01,52.6
2009-08-01,52.9
2009-07-01,48.9
2009-06-01,44.8
2009-05-01,42.8
2009-04-01,40.1
2009-03-01,36.3
2009-02-01,35.8
2009-01-01,35.6
2008-12-01,32.4
2008-11-01,36.2
2008-10-01,38.9
2008-09-01,43.5
2008-08-01,49.9
2008-07-01,50
2008-06-01,50.2
2008-05-01,49.6
2008-04-01,48.6
2008-03-01,48.6
2008-02-01,48.3
2008-01-01,50.3
2007-12-01,49
2007-11-01,50.5
2007-10-01,51.1
2007-09-01,51
2007-08-01,50.9
2007-07-01,52.4
2007-06-01,52.6
2007-05-01,52.5
2007-04-01,52.6
2007-03-01,50.7
2007-02-01,51.9
2007-01-01,49.5
2006-12-01,51.4
2006-11-01,50.3
2006-10-01,51.4
2006-09-01,52.2
2006-08-01,53.7
2006-07-01,53
2006-06-01,52
2006-05-01,53.7
2006-04-01,55.2
2006-03-01,54.3
2006-02-01,55.8
2006-01-01,55
2005-12-01,55.1
2005-11-01,56.7
2005-10-01,57.2
2005-09-01,56.8
2005-08-01,52.4
2005-07-01,52.8
2005-06-01,52.4
2005-05-01,50.8
2005-04-01,52.2
2005-03-01,55.2
2005-02-01,55.5
2005-01-01,56.8
2004-12-01,57.2
2004-11-01,56.2
2004-10-01,56.3
2004-09-01,57.4
2004-08-01,58.5
2004-07-01,59.9
2004-06-01,60.5
2004-05-01,61.4
2004-04-01,60.6
2004-03-01,60.6
2004-02-01,59.9
2004-01-01,60.8
2003-12-01,60.1
